0.34,0.17,0.05,0.05,0.02,0.11,0.02,0.03,0.02,0.03,0.02,0.14
0.50,0.03,0.01,0.01,0.01,0.09,0.02,0.04,0.00,0.27,0.01,0.02
0.30,0.01,0.01,0.02,0.03,0.13,0.02,0.14,0.01,0.27,0.04,0.02
0.36,0.01,0.01,0.02,0.05,0.22,0.02,0.09,0.01,0.16,0.02,0.02
0.38,0.01,0.00,0.02,0.03,0.17,0.03,0.22,0.01,0.08,0.02,0.02
0.19,0.02,0.03,0.02,0.03,0.36,0.01,0.03,0.00,0.30,0.00,0.01
0.59,0.02,0.01,0.01,0.02,0.04,0.01,0.24,0.00,0.01,0.03,0.01
0.52,0.01,0.00,0.01,0.02,0.02,0.01,0.33,0.01,0.04,0.03,0.01
0.25,0.01,0.02,0.06,0.09,0.18,0.03,0.04,0.01,0.27,0.01,0.02
0.37,0.02,0.02,0.05,0.10,0.17,0.04,0.05,0.01,0.05,0.04,0.08
0.28,0.04,0.02,0.03,0.06,0.10,0.03,0.12,0.04,0.14,0.04,0.09
0.36,0.02,0.00,0.01,0.01,0.25,0.02,0.15,0.01,0.09,0.03,0.03
0.33,0.02,0.01,0.04,0.13,0.11,0.02,0.10,0.01,0.14,0.05,0.04
0.32,0.02,0.01,0.02,0.06,0.20,0.02,0.05,0.01,0.25,0.02,0.03
0.08,0.03,0.01,0.04,0.10,0.07,0.03,0.04,0.03,0.48,0.06,0.04
0.40,0.02,0.02,0.03,0.06,0.10,0.04,0.16,0.01,0.08,0.04,0.03
0.34,0.03,0.01,0.04,0.06,0.14,0.04,0.14,0.02,0.09,0.04,0.05
0.42,0.03,0.03,0.05,0.08,0.06,0.04,0.15,0.02,0.06,0.03,0.03
0.12,0.03,0.03,0.04,0.08,0.11,0.05,0.05,0.03,0.34,0.07,0.05
0.34,0.03,0.02,0.03,0.04,0.08,0.04,0.10,0.03,0.12,0.13,0.04
0.48,0.01,0.01,0.03,0.01,0.16,0.02,0.10,0.01,0.12,0.03,0.03
0.53,0.01,0.01,0.02,0.01,0.14,0.02,0.12,0.01,0.12,0.02,0.01
0.40,0.02,0.01,0.03,0.09,0.13,0.02,0.17,0.01,0.08,0.03,0.02
0.24,0.02,0.02,0.03,0.02,0.20,0.02,0.07,0.01,0.27,0.06,0.03
0.26,0.02,0.01,0.05,0.03,0.16,0.05,0.08,0.01,0.27,0.02,0.04
0.40,0.02,0.01,0.03,0.10,0.19,0.02,0.07,0.02,0.08,0.04,0.04
0.61,0.02,0.01,0.02,0.02,0.09,0.01,0.10,0.01,0.06,0.02,0.04
0.26,0.03,0.03,0.06,0.04,0.17,0.07,0.07,0.03,0.15,0.04,0.05
0.37,0.01,0.00,0.03,0.04,0.10,0.02,0.27,0.01,0.12,0.02,0.01
0.55,0.01,0.01,0.01,0.02,0.06,0.02,0.22,0.01,0.05,0.01,0.02
0.73,0.00,0.00,0.00,0.02,0.04,0.01,0.14,0.00,0.04,0.00,0.01
0.46,0.01,0.01,0.05,0.03,0.17,0.02,0.08,0.00,0.11,0.03,0.03
0.17,0.02,0.01,0.04,0.02,0.51,0.03,0.07,0.01,0.08,0.02,0.03
0.19,0.02,0.01,0.04,0.04,0.34,0.04,0.09,0.02,0.14,0.04,0.04
0.52,0.04,0.02,0.02,0.04,0.07,0.01,0.13,0.02,0.03,0.03,0.06
0.71,0.00,0.00,0.01,0.03,0.04,0.01,0.18,0.00,0.01,0.01,0.00
0.35,0.01,0.01,0.04,0.08,0.15,0.04,0.05,0.01,0.24,0.01,0.01
0.39,0.04,0.01,0.02,0.05,0.21,0.06,0.10,0.03,0.05,0.01,0.04
0.25,0.04,0.02,0.03,0.03,0.13,0.02,0.03,0.01,0.36,0.03,0.05
0.29,0.02,0.01,0.03,0.02,0.18,0.03,0.05,0.02,0.29,0.02,0.05
0.55,0.02,0.01,0.02,0.03,0.07,0.02,0.12,0.01,0.09,0.01,0.05
0.57,0.01,0.01,0.01,0.04,0.10,0.01,0.10,0.01,0.11,0.02,0.02
0.27,0.02,0.01,0.03,0.06,0.26,0.03,0.13,0.01,0.11,0.03,0.04
0.24,0.01,0.01,0.03,0.04,0.23,0.02,0.04,0.01,0.33,0.01,0.03
0.50,0.01,0.01,0.03,0.03,0.08,0.02,0.10,0.00,0.18,0.01,0.02
0.21,0.01,0.02,0.05,0.03,0.16,0.07,0.04,0.02,0.36,0.01,0.02
0.48,0.01,0.00,0.02,0.09,0.09,0.02,0.14,0.01,0.12,0.02,0.01
0.25,0.02,0.00,0.08,0.06,0.34,0.02,0.07,0.01,0.09,0.02,0.03
0.25,0.03,0.03,0.04,0.04,0.13,0.04,0.19,0.05,0.10,0.05,0.05
0.44,0.06,0.02,0.03,0.04,0.12,0.04,0.10,0.03,0.06,0.03,0.04
0.26,0.02,0.02,0.04,0.03,0.14,0.03,0.04,0.01,0.33,0.03,0.05
0.13,0.02,0.02,0.02,0.03,0.46,0.06,0.05,0.03,0.12,0.03,0.02
0.28,0.02,0.01,0.02,0.02,0.43,0.01,0.08,0.01,0.08,0.02,0.02
0.39,0.01,0.01,0.03,0.03,0.15,0.03,0.09,0.01,0.21,0.02,0.03
0.28,0.01,0.01,0.04,0.01,0.21,0.04,0.14,0.01,0.20,0.01,0.03
